"phase","experiment_id","formulation","temperature_c","pc_g","ec_g","emc_g","lipf6_g","ionic_conductivity_s_cm","ln_ionic_conductivity"
"liquid","PYA_30032021_BM066_1","PC:3.1775g | EC:2.1231g | EMC:5.3032g | LiPF6:1.6989g","50.0","3.1775","2.1231","5.3032","1.6989","0.0118636462285355","-4.306114017366402"
"liquid","PYA_30032021_BM066_1","PC:3.1775g | EC:2.1231g | EMC:5.3032g | LiPF6:1.6989g","60.0","3.1775","2.1231","5.3032","1.6989","0.0133863672364945","-4.082935245493425"
"liquid","PYA_30032021_BM066_3","PC:3.1775g | EC:2.1231g | EMC:5.3032g | LiPF6:1.6989g","-30.0","3.1775","2.1231","5.3032","1.6989","0.0013906878869445","-6.199919986464513"
"liquid","PYA_30032021_BM066_3","PC:3.1775g | EC:2.1231g | EMC:5.3032g | LiPF6:1.6989g","-20.0","3.1775","2.1231","5.3032","1.6989","0.0024189431495975","-5.860897866614161"
"liquid","PYA_30032021_BM066_3","PC:3.1775g | EC:2.1231g | EMC:5.3032g | LiPF6:1.6989g","-10.0","3.1775","2.1231","5.3032","1.6989","0.0041548462904387","-5.547642200866058"
"liquid","PYA_30032021_BM066_3","PC:3.1775g | EC:2.1231g | EMC:5.3032g | LiPF6:1.6989g","0.0","3.1775","2.1231","5.3032","1.6989","0.0064076680169943","-5.25732306565049"
"liquid","PYA_30032021_BM066_3","PC:3.1775g | EC:2.1231g | EMC:5.3032g | LiPF6:1.6989g","10.0","3.1775","2.1231","5.3032","1.6989","0.0096414789866137","-4.98751031469878"
"liquid","PYA_30032021_BM066_3","PC:3.1775g | EC:2.1231g | EMC:5.3032g | LiPF6:1.6989g","20.0","3.1775","2.1231","5.3032","1.6989","0.0155413613779753","-4.736105392568609"
"liquid","PYA_30032021_BM066_3","PC:3.1775g | EC:2.1231g | EMC:5.3032g | LiPF6:1.6989g","30.0","3.1775","2.1231","5.3032","1.6989","0.0121329015830219","-4.501286643760568"
"liquid","PYA_30032021_BM066_3","PC:3.1775g | EC:2.1231g | EMC:5.3032g | LiPF6:1.6989g","40.0","3.1775","2.1231","5.3032","1.6989","0.0117856007697304","-4.28146510068831"
"liquid","PYA_30032021_BM066_3","PC:3.1775g | EC:2.1231g | EMC:5.3032g | LiPF6:1.6989g","50.0","3.1775","2.1231","5.3032","1.6989","0.0128184740205002","-4.075248480597471"
"liquid","PYA_30032021_BM066_3","PC:3.1775g | EC:2.1231g | EMC:5.3032g | LiPF6:1.6989g","60.0","3.1775","2.1231","5.3032","1.6989","0.0153417168216594","-3.881411666605436"
"liquid","PYA_30032021_BM067_2","PC:4.2848g | EC:1.0666g | EMC:5.2959g | LiPF6:1.6975g","-30.0","4.2848","1.0666","5.2959","1.6975","0.001139336021227","-6.585151712302732"
"liquid","PYA_30032021_BM067_2","PC:4.2848g | EC:1.0666g | EMC:5.2959g | LiPF6:1.6975g","-20.0","4.2848","1.0666","5.2959","1.6975","0.0019755284108694","-6.24067227732275"
"liquid","PYA_30032021_BM067_2","PC:4.2848g | EC:1.0666g | EMC:5.2959g | LiPF6:1.6975g","-10.0","4.2848","1.0666","5.2959","1.6975","0.0029753312533618","-5.92237406483792"
"liquid","PYA_30032021_BM067_2","PC:4.2848g | EC:1.0666g | EMC:5.2959g | LiPF6:1.6975g","0.0","4.2848","1.0666","5.2959","1.6975","0.0038354234442664","-5.627381597363877"
"liquid","PYA_30032021_BM067_2","PC:4.2848g | EC:1.0666g | EMC:5.2959g | LiPF6:1.6975g","10.0","4.2848","1.0666","5.2959","1.6975","0.0050981423475756","-5.353225610022206"
"liquid","PYA_30032021_BM067_2","PC:4.2848g | EC:1.0666g | EMC:5.2959g | LiPF6:1.6975g","20.0","4.2848","1.0666","5.2959","1.6975","0.0063234333606068","-5.09777376645278"
"liquid","PYA_30032021_BM067_2","PC:4.2848g | EC:1.0666g | EMC:5.2959g | LiPF6:1.6975g","30.0","4.2848","1.0666","5.2959","1.6975","0.0086558297605307","-4.859175087558888"
"liquid","PYA_30032021_BM067_2","PC:4.2848g | EC:1.0666g | EMC:5.2959g | LiPF6:1.6975g","40.0","4.2848","1.0666","5.2959","1.6975","0.009936708755924","-4.635815027786432"
"liquid","PYA_30032021_BM067_2","PC:4.2848g | EC:1.0666g | EMC:5.2959g | LiPF6:1.6975g","50.0","4.2848","1.0666","5.2959","1.6975","0.0100468778565603","-4.426278892493164"
"liquid","PYA_30032021_BM067_2","PC:4.2848g | EC:1.0666g | EMC:5.2959g | LiPF6:1.6975g","60.0","4.2848","1.0666","5.2959","1.6975","0.0137301856752248","-4.229321843815129"
"liquid","PYA_30032021_BM067_4","PC:4.2848g | EC:1.0666g | EMC:5.2959g | LiPF6:1.6975g","-30.0","4.2848","1.0666","5.2959","1.6975","0.0011969802468006","-6.559321648582458"
"liquid","PYA_30032021_BM067_4","PC:4.2848g | EC:1.0666g | EMC:5.2959g | LiPF6:1.6975g","-20.0","4.2848","1.0666","5.2959","1.6975","0.001988931803392","-6.213018092286195"
"liquid","PYA_30032021_BM067_4","PC:4.2848g | EC:1.0666g | EMC:5.2959g | LiPF6:1.6975g","-10.0","4.2848","1.0666","5.2959","1.6975","0.0029781286087363","-5.893034395864241"
